column,primary_label,secondary_labels,confidence,all_confidences,description,unit,tags
alternative_gdp_per_capita_ppp_wb,economy,"['demographics', 'social wellbeing']",0.4813944697380066,"[0.4813944697380066, 0.2066476047039032, 0.07289272546768188]",alternative gdp per capita ppp wb,count,"['alternative', 'gdp', 'per', 'capita', 'ppp', 'wb']"
alternative_gdppercapita_ppp_inflation_adjusted_from_pwt,economy,"['safety', 'environment']",0.38565438985824585,"[0.38565438985824585, 0.1421380490064621, 0.13662196695804596]",alternative gdppercapita ppp inflation adjusted from pwt,count,"['alternative', 'gdppercapita', 'ppp', 'inflation', 'adjusted', 'from', 'pwt']"
alternative_poverty_percent_below_nationally_defined_poverty,economy,"['safety', 'social wellbeing']",0.22373752295970917,"[0.22373752295970917, 0.2051478922367096, 0.19551052153110504]",alternative poverty % below nationally defined poverty,percent,"['alternative', 'poverty', 'percent', 'below', 'nationally', 'defined', 'poverty']"
annual_hiv_deaths_number_all_ages,demographics,"['safety', 'environment']",0.6061455607414246,"[0.6061455607414246, 0.17371924221515656, 0.05875010043382645]",annual hiv deaths number all ages,count,"['annual', 'hiv', 'deaths', 'number', 'all', 'ages']"
armed_forces_personnel_percent_of_labor_force,demographics,"['safety', 'social wellbeing']",0.4374106526374817,"[0.4374106526374817, 0.14651145040988922, 0.12444198876619339]",armed forces personnel % of labor force,percent,"['armed', 'forces', 'personnel', 'percent', 'of', 'labor', 'force']"
armed_forces_personnel_total,demographics,"['safety', 'physical health']",0.2235579788684845,"[0.2235579788684845, 0.19126687943935394, 0.1596858948469162]",armed forces personnel total,count,"['armed', 'forces', 'personnel', 'total']"
arms_exports_sipri_tiv,safety,"['social wellbeing', 'economy']",0.26039621233940125,"[0.26039621233940125, 0.1724606305360794, 0.1557556837797165]",arms exports sipri tiv,count,"['arms', 'exports', 'sipri', 'tiv']"
arms_imports_sipri_tiv,social wellbeing,"['safety', 'environment']",0.23959019780158997,"[0.23959019780158997, 0.2326829880475998, 0.13411322236061096]",arms imports sipri tiv,count,"['arms', 'imports', 'sipri', 'tiv']"
art_coverage_percent_cd4_l_350,environment,"['economy', 'safety']",0.24313296377658844,"[0.24313296377658844, 0.18275414407253265, 0.1320980042219162]",art coverage % cd4 l 350,percent,"['art', 'coverage', 'percent', 'cd4', 'l', '350']"
at_least_basic_sanitation_overall_access_percent,safety,"['environment', 'social wellbeing']",0.43916282057762146,"[0.43916282057762146, 0.22708678245544434, 0.15224218368530273]",at least basic sanitation overall access %,percent,"['at', 'least', 'basic', 'sanitation', 'overall', 'access', 'percent']"
at_least_basic_sanitation_rural_access_percent,social wellbeing,"['safety', 'environment']",0.26325809955596924,"[0.26325809955596924, 0.2264908105134964, 0.22554972767829895]",at least basic sanitation rural access %,percent,"['at', 'least', 'basic', 'sanitation', 'rural', 'access', 'percent']"
at_least_basic_sanitation_urban_access_percent,safety,"['environment', 'social wellbeing']",0.3616637587547302,"[0.3616637587547302, 0.23620258271694183, 0.21665160357952118]",at least basic sanitation urban access %,percent,"['at', 'least', 'basic', 'sanitation', 'urban', 'access', 'percent']"
at_least_basic_water_source_overall_access_percent,safety,"['environment', 'social wellbeing']",0.4966449737548828,"[0.4966449737548828, 0.18297624588012695, 0.09973792731761932]",at least basic water source overall access %,percent,"['at', 'least', 'basic', 'water', 'source', 'overall', 'access', 'percent']"
at_least_basic_water_source_rural_access_percent,environment,"['safety', 'social wellbeing']",0.2622084617614746,"[0.2622084617614746, 0.2616225481033325, 0.15727517008781433]",at least basic water source rural access %,percent,"['at', 'least', 'basic', 'water', 'source', 'rural', 'access', 'percent']"
at_least_basic_water_source_urban_access_percent,safety,"['environment', 'social wellbeing']",0.4494110643863678,"[0.4494110643863678, 0.20432080328464508, 0.12305229157209396]",at least basic water source urban access %,percent,"['at', 'least', 'basic', 'water', 'source', 'urban', 'access', 'percent']"
average_age_of_dollar_billionaires_years,demographics,"['economy', 'social wellbeing']",0.5031513571739197,"[0.5031513571739197, 0.1699947863817215, 0.1365506500005722]",average age of dollar billionaires years,count,"['average', 'age', 'of', 'dollar', 'billionaires', 'years']"
bad_teeth_per_child_12_yr,demographics,"['physical health', 'environment']",0.32937440276145935,"[0.32937440276145935, 0.18560156226158142, 0.15655365586280823]",bad teeth per child 12 yr,count,"['bad', 'teeth', 'per', 'child', '12', 'yr']"
battle_deaths_per_100_000,demographics,"['safety', 'physical health']",0.28532832860946655,"[0.28532832860946655, 0.16921822726726532, 0.16426175832748413]",battle deaths per 100 000,count,"['battle', 'deaths', 'per', '100', '000']"
biomass_stock_in_forest_tons,environment,"['economy', 'safety']",0.6104941368103027,"[0.6104941368103027, 0.11355353146791458, 0.08515798300504684]",biomass stock in forest tons,count,"['biomass', 'stock', 'in', 'forest', 'tons']"
birth_asphyxia_deaths_in_newborn_per_1000_births,safety,"['environment', 'demographics']",0.3939051032066345,"[0.3939051032066345, 0.1959378719329834, 0.11191781610250473]",birth asphyxia deaths in newborn per 1000 births,count,"['birth', 'asphyxia', 'deaths', 'in', 'newborn', 'per', '1000', 'births']"
birth_asphyxia_deaths_in_newborn_total_deaths,safety,"['economy', 'environment']",0.28897491097450256,"[0.28897491097450256, 0.237809956073761, 0.17342473566532135]",birth asphyxia deaths in newborn total deaths,count,"['birth', 'asphyxia', 'deaths', 'in', 'newborn', 'total', 'deaths']"
births_attended_by_skilled_health_staff_percent_of_total,demographics,"['safety', 'economy']",0.3285258710384369,"[0.3285258710384369, 0.23702268302440643, 0.12895232439041138]",births attended by skilled health staff % of total,percent,"['births', 'attended', 'by', 'skilled', 'health', 'staff', 'percent', 'of', 'total']"
blood_pressure_sbp_men_mmhg,physical health,"['safety', 'economy']",0.746026337146759,"[0.746026337146759, 0.08220674097537994, 0.049311090260744095]",blood pressure sbp men mmhg,count,"['blood', 'pressure', 'sbp', 'men', 'mmhg']"
blood_pressure_sbp_women_mmhg,physical health,"['demographics', 'safety']",0.5668543577194214,"[0.5668543577194214, 0.2704499661922455, 0.06811127811670303]",blood pressure sbp women mmhg,count,"['blood', 'pressure', 'sbp', 'women', 'mmhg']"
body_mass_index_bmi_men_kgperm2,physical health,"['demographics', 'economy']",0.5910276770591736,"[0.5910276770591736, 0.24407991766929626, 0.060611430555582047]",body mass index bmi men kgperm2,count,"['body', 'mass', 'index', 'bmi', 'men', 'kgperm2']"
body_mass_index_bmi_women_kgperm2,physical health,"['demographics', 'economy']",0.52876877784729,"[0.52876877784729, 0.3283458650112152, 0.053918398916721344]",body mass index bmi women kgperm2,count,"['body', 'mass', 'index', 'bmi', 'women', 'kgperm2']"
breast_cancer_deaths_per_100000_women,demographics,"['safety', 'economy']",0.6234918832778931,"[0.6234918832778931, 0.15339422225952148, 0.05844196677207947]",breast cancer deaths per 100000 women,count,"['breast', 'cancer', 'deaths', 'per', '100000', 'women']"
breast_cancer_new_cases_per_100000_women,demographics,"['safety', 'economy']",0.5504363179206848,"[0.5504363179206848, 0.15432307124137878, 0.07613705843687057]",breast cancer new cases per 100000 women,count,"['breast', 'cancer', 'new', 'cases', 'per', '100000', 'women']"
breast_cancer_number_of_female_deaths,demographics,"['economy', 'safety']",0.8431978821754456,"[0.8431978821754456, 0.03698471561074257, 0.032276701182127]",breast cancer number of female deaths,count,"['breast', 'cancer', 'number', 'of', 'female', 'deaths']"
breast_cancer_number_of_new_female_cases,demographics,"['economy', 'safety']",0.7449321746826172,"[0.7449321746826172, 0.05678853392601013, 0.05273996666073799]",breast cancer number of new female cases,count,"['breast', 'cancer', 'number', 'of', 'new', 'female', 'cases']"
broadband_subscribers,demographics,"['environment', 'economy']",0.3375522792339325,"[0.3375522792339325, 0.1634884923696518, 0.14689449965953827]",broadband subscribers,count,"['broadband', 'subscribers']"
broadband_subscribers_per_100_people,demographics,"['social wellbeing', 'economy']",0.5930233597755432,"[0.5930233597755432, 0.10745902359485626, 0.10326327383518219]",broadband subscribers per 100 people,count,"['broadband', 'subscribers', 'per', '100', 'people']"
burns_deaths_per_100000_people,demographics,"['environment', 'physical health']",0.35773175954818726,"[0.35773175954818726, 0.27323269844055176, 0.09264034032821655]",burns deaths per 100000 people,count,"['burns', 'deaths', 'per', '100000', 'people']"
car_deaths_per_100000_people,demographics,"['safety', 'economy']",0.3946203291416168,"[0.3946203291416168, 0.2911411225795746, 0.08959905058145523]",car deaths per 100000 people,count,"['car', 'deaths', 'per', '100000', 'people']"
cars_trucks_and_buses_per_1000_persons,demographics,"['economy', 'social wellbeing']",0.3077378273010254,"[0.3077378273010254, 0.1890297532081604, 0.1855972558259964]",cars trucks and buses per 1000 persons,count,"['cars', 'trucks', 'and', 'buses', 'per', '1000', 'persons']"
cell_phones_per_100_people,demographics,"['social wellbeing', 'economy']",0.6602206826210022,"[0.6602206826210022, 0.09825056791305542, 0.0783429890871048]",cell phones per 100 people,count,"['cell', 'phones', 'per', '100', 'people']"
cell_phones_total,economy,"['demographics', 'environment']",0.33795028924942017,"[0.33795028924942017, 0.17775486409664154, 0.14801718294620514]",cell phones total,count,"['cell', 'phones', 'total']"
central_bank_discount_rate_annual_percent,safety,"['economy', 'environment']",0.27977970242500305,"[0.27977970242500305, 0.2706531882286072, 0.12301364541053772]",central bank discount rate annual %,percent,"['central', 'bank', 'discount', 'rate', 'annual', 'percent']"
cervical_cancer_deaths_per_100000_women,demographics,"['safety', 'economy']",0.5562039017677307,"[0.5562039017677307, 0.18444420397281647, 0.06884679943323135]",cervical cancer deaths per 100000 women,count,"['cervical', 'cancer', 'deaths', 'per', '100000', 'women']"
cervical_cancer_new_cases_per_100000_women,demographics,"['safety', 'economy']",0.5296258926391602,"[0.5296258926391602, 0.1528264433145523, 0.09016561508178711]",cervical cancer new cases per 100000 women,count,"['cervical', 'cancer', 'new', 'cases', 'per', '100000', 'women']"
cervical_cancer_number_of_female_deaths,demographics,"['economy', 'safety']",0.7842732667922974,"[0.7842732667922974, 0.05462070554494858, 0.043676719069480896]",cervical cancer number of female deaths,count,"['cervical', 'cancer', 'number', 'of', 'female', 'deaths']"
cervical_cancer_number_of_new_female_cases,demographics,"['economy', 'safety']",0.6819978356361389,"[0.6819978356361389, 0.07810083031654358, 0.06599842756986618]",cervical cancer number of new female cases,count,"['cervical', 'cancer', 'number', 'of', 'new', 'female', 'cases']"
children_and_elderly_per_100_adults,demographics,"['social wellbeing', 'safety']",0.7708771228790283,"[0.7708771228790283, 0.0891004353761673, 0.03145502135157585]",children and elderly per 100 adults,count,"['children', 'and', 'elderly', 'per', '100', 'adults']"
children_out_of_school_primary,demographics,"['education', 'social wellbeing']",0.5537973046302795,"[0.5537973046302795, 0.2067566066980362, 0.06658448278903961]",children out of school primary,count,"['children', 'out', 'of', 'school', 'primary']"
children_out_of_school_primary_female,demographics,"['education', 'social wellbeing']",0.6789191365242004,"[0.6789191365242004, 0.1347031593322754, 0.055280622094869614]",children out of school primary female,count,"['children', 'out', 'of', 'school', 'primary', 'female']"
children_out_of_school_primary_male,demographics,"['education', 'social wellbeing']",0.7313157320022583,"[0.7313157320022583, 0.10508015006780624, 0.04319854453206062]",children out of school primary male,count,"['children', 'out', 'of', 'school', 'primary', 'male']"
cholesterol_fat_in_blood_men_mmolperl,economy,"['environment', 'physical health']",0.21379254758358002,"[0.21379254758358002, 0.16549718379974365, 0.16434188187122345]",cholesterol fat in blood men mmolperl,count,"['cholesterol', 'fat', 'in', 'blood', 'men', 'mmolperl']"
cholesterol_fat_in_blood_women_mmolperl,demographics,"['economy', 'physical health']",0.4620121419429779,"[0.4620121419429779, 0.1251222789287567, 0.1055040955543518]",cholesterol fat in blood women mmolperl,count,"['cholesterol', 'fat', 'in', 'blood', 'women', 'mmolperl']"
coal_consumption_per_cap,environment,"['economy', 'safety']",0.44607871770858765,"[0.44607871770858765, 0.2809049189090729, 0.07745633274316788]",coal consumption per cap,count,"['coal', 'consumption', 'per', 'cap']"
coal_consumption_total,economy,"['environment', 'demographics']",0.3658187985420227,"[0.3658187985420227, 0.3535648584365845, 0.08260069042444229]",coal consumption total,count,"['coal', 'consumption', 'total']"
colonandrectum_cancer_deaths_per_100000_men,demographics,"['safety', 'physical health']",0.5810975432395935,"[0.5810975432395935, 0.12885387241840363, 0.10232169926166534]",colonandrectum cancer deaths per 100000 men,count,"['colonandrectum', 'cancer', 'deaths', 'per', '100000', 'men']"
colonandrectum_cancer_deaths_per_100000_women,demographics,"['safety', 'physical health']",0.6175054311752319,"[0.6175054311752319, 0.13059960305690765, 0.0875038132071495]",colonandrectum cancer deaths per 100000 women,count,"['colonandrectum', 'cancer', 'deaths', 'per', '100000', 'women']"
colonandrectum_cancer_new_cases_per_100000_men,demographics,"['safety', 'economy']",0.5440280437469482,"[0.5440280437469482, 0.1357363760471344, 0.09067343920469284]",colonandrectum cancer new cases per 100000 men,count,"['colonandrectum', 'cancer', 'new', 'cases', 'per', '100000', 'men']"
colonandrectum_cancer_new_cases_per_100000_women,demographics,"['safety', 'economy']",0.5584803819656372,"[0.5584803819656372, 0.14767998456954956, 0.08585771173238754]",colonandrectum cancer new cases per 100000 women,count,"['colonandrectum', 'cancer', 'new', 'cases', 'per', '100000', 'women']"
colonandrectum_cancer_number_of_female_deaths,demographics,"['economy', 'safety']",0.7915166616439819,"[0.7915166616439819, 0.05357901379466057, 0.04051850363612175]",colonandrectum cancer number of female deaths,count,"['colonandrectum', 'cancer', 'number', 'of', 'female', 'deaths']"
colonandrectum_cancer_number_of_male_deaths,demographics,"['economy', 'safety']",0.7395723462104797,"[0.7395723462104797, 0.06703093647956848, 0.05242056027054787]",colonandrectum cancer number of male deaths,count,"['colonandrectum', 'cancer', 'number', 'of', 'male', 'deaths']"
colonandrectum_cancer_number_of_new_female_cases,demographics,"['economy', 'safety']",0.6525095701217651,"[0.6525095701217651, 0.08250212669372559, 0.07705353200435638]",colonandrectum cancer number of new female cases,count,"['colonandrectum', 'cancer', 'number', 'of', 'new', 'female', 'cases']"
colonandrectum_cancer_number_of_new_male_cases,demographics,"['economy', 'physical health']",0.5708326697349548,"[0.5708326697349548, 0.09935110062360764, 0.0882389023900032]",colonandrectum cancer number of new male cases,count,"['colonandrectum', 'cancer', 'number', 'of', 'new', 'male', 'cases']"
congenital_deaths_in_newborn_per_1000_births,demographics,"['safety', 'physical health']",0.5097777843475342,"[0.5097777843475342, 0.19338737428188324, 0.07974059879779816]",congenital deaths in newborn per 1000 births,count,"['congenital', 'deaths', 'in', 'newborn', 'per', '1000', 'births']"
congenital_deaths_in_newborn_total_deaths,demographics,"['safety', 'economy']",0.5906116366386414,"[0.5906116366386414, 0.13046126067638397, 0.08686713874340057]",congenital deaths in newborn total deaths,count,"['congenital', 'deaths', 'in', 'newborn', 'total', 'deaths']"
contraceptive_use_percent_of_women_ages_15_49,demographics,"['safety', 'economy']",0.872400164604187,"[0.872400164604187, 0.04362180829048157, 0.030861787497997284]",contraceptive use % of women ages 15 49,percent,"['contraceptive', 'use', 'percent', 'of', 'women', 'ages', '15', '49']"
crude_birth_rate_births_per_1000_population,demographics,"['economy', 'physical health']",0.7880231738090515,"[0.7880231738090515, 0.060637619346380234, 0.05923370271921158]",crude birth rate births per 1000 population,count,"['crude', 'birth', 'rate', 'births', 'per', '1000', 'population']"
crude_death_rate_deaths_per_1000_population,demographics,"['economy', 'safety']",0.4868263006210327,"[0.4868263006210327, 0.16481603682041168, 0.10701360553503036]",crude death rate deaths per 1000 population,count,"['crude', 'death', 'rate', 'deaths', 'per', '1000', 'population']"
cumulative_co2_emissions_tonnes,environment,"['economy', 'demographics']",0.6247060298919678,"[0.6247060298919678, 0.2088639736175537, 0.041878197342157364]",cumulative co2 emissions tonnes,count,"['cumulative', 'co2', 'emissions', 'tonnes']"
data_method_maternal_mortality,demographics,"['safety', 'economy']",0.559305727481842,"[0.559305727481842, 0.20333920419216156, 0.07618505507707596]",data method maternal mortality,count,"['data', 'method', 'maternal', 'mortality']"
data_quality_children_per_woman,demographics,"['social wellbeing', 'physical health']",0.5172133445739746,"[0.5172133445739746, 0.16129949688911438, 0.08289166539907455]",data quality children per woman,count,"['data', 'quality', 'children', 'per', 'woman']"
data_quality_income_per_person,economy,"['demographics', 'social wellbeing']",0.6243910789489746,"[0.6243910789489746, 0.08656185120344162, 0.08599580824375153]",data quality income per person,count,"['data', 'quality', 'income', 'per', 'person']"
data_quality_life_expectancy,social wellbeing,"['safety', 'physical health']",0.3280430734157562,"[0.3280430734157562, 0.24609363079071045, 0.13445208966732025]",data quality life expectancy,count,"['data', 'quality', 'life', 'expectancy']"
data_quality_population,demographics,"['social wellbeing', 'safety']",0.8721587657928467,"[0.8721587657928467, 0.03220953047275543, 0.02402353473007679]",data quality population,count,"['data', 'quality', 'population']"
dead_kids_per_woman,demographics,"['social wellbeing', 'safety']",0.7290292382240295,"[0.7290292382240295, 0.10399401187896729, 0.03950284421443939]",dead kids per woman,count,"['dead', 'kids', 'per', 'woman']"
debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,economy,"['safety', 'environment']",0.6765891313552856,"[0.6765891313552856, 0.09701654314994812, 0.06914004683494568]",debt servicing costs % of exports and net income from abroad,percent,"['debt', 'servicing', 'costs', 'percent', 'of', 'exports', 'and', 'net', 'income', 'from', 'abroad']"
debt_to_foreigners_by_public_and_private_percent_of_gni,economy,"['demographics', 'social wellbeing']",0.3640729784965515,"[0.3640729784965515, 0.21818482875823975, 0.10472901910543442]",debt to foreigners by public and private % of gni,percent,"['debt', 'to', 'foreigners', 'by', 'public', 'and', 'private', 'percent', 'of', 'gni']"
